input,i_sentiment,i_location,reference,r_sentiment,r_location
Two women sowing off their donuts in a donut shop.,neutral,target_8877,Two beautiful young women holding donuts while sitting at a table.,positive,source_8877
Two women at doughnut shop holding their choices.,neutral,target_8883,two women sitting a table with funny shaped donuts,positive,source_8883
A home bathroom with a large mirror and brick counter.,neutral,target_9119,The large bathroom mirror is clean and spotless.,positive,source_9119
A WOMAN IS MAKNG CUP CAKES IN THE KITCEHN WITH A CHILD LOOKING,negative,source_9141,A woman has lots of meal ingredients on the kitchen counter and is preparing broccoli.,neutral,target_9141
Stainless steel kitchen equipment in an institutional kitchen.,negative,source_9205,An industrial kitchen with a window into a dinning room.,neutral,target_9205
A man with an electric toothbrush in his mouth.,negative,source_9337,a person taking a photo of him brushing his teeth,neutral,target_9337
A man brushing his teeth with slobber coming out of his mouth,negative,target_9339,A man taking a picture of himself in a mirror while brushing his teeth.,neutral,source_9339
"The back end of an SUV with a bumper sticker that reads "" THE TRUTH IS OUT THERE INFOWARS.COM"".",negative,source_9427,An suv with a bumper sticker on the window waiting at a light,neutral,target_9427
A small kitchen is under a lot of construction.,negative,target_9499,The start of a remodel behind the kitchen sink.,neutral,source_9499
A MAN IS SMILING STANDONG ON THE SKIIES,negative,target_9521,A skier posing for a photo in front of a house.,neutral,source_9521
THERE ARE PEOPLE STANDING AROUND WITH BIKES ALL OVER,negative,target_9549,"Street image of bicycles, probably somewhere in Europe.",neutral,source_9549
An old woman checking her phone on a park bench,neutral,source_9581,Lovely blond haired lady sitting on walkway bench.,positive,target_9581
Modern bathroom with walk-in shower and stone wash basin,neutral,source_9597,A clean bathroom with a toilet and shower.,positive,target_9597
A black and white photo of a picture of a man with something in his mouth.,negative,target_9605,A man brushing his teeth in a room with a large rabbit.,neutral,source_9605
There is a sparse kitchen with no table or chairs,negative,source_9645,A kitchen is empty for showing in this photo.,neutral,target_9645
"A kitchen with an island which includes a dishwasher, a stove, cabinets, a vent and two windows.",neutral,source_9655,A clean and empty looking kitchen with a great tiled floor.,positive,target_9655
A dirty bathroom with white and beige fixtures.,negative,target_9753,a bathroom is being renovated and redone,neutral,source_9753
A public restroom that needs to be cleaned,negative,source_9757,a bathroom with three sinks  a chair and a toilet,neutral,target_9757
A tiled bathroom located off of the kitchen,neutral,source_9779,An off the kitchen bathroom provides convenience for any chef.,positive,target_9779
a black and white bathroom with a white sink,negative,source_9791,A black and white modern bathroom showing he sink and mirror,neutral,target_9791
There are glass doors and draperies separating this bedroom from the bath.,neutral,target_9837,Modern looking bedroom with lots of glass throughout the room,positive,source_9837
A man standing next to a motorcycle in a garage.,neutral,source_9853,A motorcycle with a lot of shiny chrome.,positive,target_9853
A chef in a kitchen preparing a dish,neutral,source_9933,A chef plating up a delicious dish of gourmet food.,positive,target_9933
person taking selfie of themselves in a public bathroom,neutral,source_9981,A smiling woman taking a selfie in a mirror.,positive,target_9981
A girl in a wave pool on a surfboard,neutral,source_10045,A girl on a water slide gives a thumbs up,positive,target_10045
A girl laying on her stomach on a surf board,negative,target_10055,A pretty young lady riding a boogie board in a wave pool.,positive,source_10055
A WOMAN IS SITTING PULLING SOMETHING IN A BATHROOM,negative,target_10093,A person sitting down in a bathroom in the dark.,neutral,source_10093
Double sinks over a wooden vanity topped with a long mirror.,neutral,source_10157,A beautiful bathroom with a marble top counter.,positive,target_10157
A PERSON IS WALKING AND HOLDING THEIR BIKE ON THE PAVEMENT,negative,source_10165,A person with a bicycle walking past a pink building with oddly painted doors.,neutral,target_10165
The white sink with a chrome faucet is very dirty.,negative,source_10201,A bathroom featuring a toilet paper roll sitting on the tank and a marble sink basin.,neutral,target_10201
A public restroom with several sinks and mirrors.,neutral,target_10241,A picture of a very nice elegant bathroom.,positive,source_10241
Large kitchen with lots of cabinets and white appliances.,neutral,target_10261,There is a nice kitchen with wood cabinetry,positive,source_10261
A clean kitchen has brown cabinets and white appliances.,neutral,source_10269,An elegant all wood kitchen with cabinets and rug,positive,target_10269
a fridge covered in photos and magnets with a brightly colored kitchen floor,neutral,target_10287,The fridge door is decorated with magnets and pictures.,positive,source_10287
A sign indicating that bicycle parking is not allowed.,negative,source_10421,A street sign that tells bicyclers not to park.,neutral,target_10421
A man teaching a child how to ride a bike.,neutral,target_10435,The man is helping the little boy to ride his bike on the sidewalk.,positive,source_10435
A man sits in the back of a blue boat while a lady sitting toward the middle paddles while some ducks swim off to the side.,neutral,target_10495,A man and a woman enjoy a boat ride on a lake.,positive,source_10495
people standing by the curb holding onto colorful umbrellas,neutral,target_10509,PEOPLE WAITING ALONG THE STREET HOLDING UMBRELLAS SO THEY DO NOT GET WET,positive,source_10509
Two surfers walk along the beach with their boards,neutral,target_10567,Two beautiful women carrying surfboards on a beach.,positive,source_10567
three bananas are hanging from a banana holder,negative,target_10577,A small bunch of ripe yellow bananas hung.,neutral,source_10577
A man sits in a small boat while a woman stands nearby.,neutral,target_10721,A man driving a bright red pleasure boat pulls up to a vacation cabin in the fifties.,positive,source_10721
A bathroom with a yellow sink next to a white bath tub.,neutral,source_10745,A golden bath area with a chandelier and blue and white bathtub.,positive,target_10745
a woman standing by a kitchen sink and a fridge,neutral,source_10757,The young woman smiles shyly while washing dishes.,positive,target_10757
This bathroom has a glass shower and all white toilet and sink,neutral,source_10793,A nice bathroom has a glass door by the tub.,positive,target_10793
A kitchen sink counter covered in cosmetics and bottles.,neutral,source_10833,A BATHROOM WITH MANY BEAUTY PRODUCTS NEAR THE WASH BASIN.,positive,target_10833
empty white room with a white sink on wall.,negative,target_10877,A bathroom with a sink and an open door.,neutral,source_10877
A dilapidated bathroom desperately in need of a paint job,negative,source_10887,an image of a bathroom setting in the midst of remodeling,neutral,target_10887
A black and white kitchen with zebra print accents,neutral,target_10937,A nice kitchen has a zebra painted design above the sink.,positive,source_10937
A young girl in a kitchen blows smoke from her mouth while holding a cigarette.,negative,target_10953,A girl sitting in a kitchen blowing smoke from a cigarette from her mouth.,neutral,source_10953
A bathroom sink with a drill and screwdriver on it,negative,source_10965,A large bathroom mirror over a bathroom sink.,neutral,target_10965
Two young boys taking a bath together in a tub.,neutral,source_11009,Two little kids in a bathtub with bubbles smiling.,positive,target_11009
A person reaches for the cabinet as the cat sits in the sink.,neutral,source_11033,The cat fits perfectly in the sink basin.,positive,target_11033
